text,label
"Led Chattanooga State to receive National Awards, the Bronze Paragon Award in 2012 from the National Council for Marketing and Public",Achievements
Silver Paragon Award in 2011 from NCMPR for The Power of Achievement in the Electronic Viewbook category,Achievements
"Wrote and produced 2010 NCMPR District level winners, Online Orientation in the Online Services category won the Gold Medallion ; The",Achievements
Experience,Experience
Developed scripts for recruitment and instructional videos for various academic departments,Projects
"Recruited instructors, organized schedule, and marketed courses.",Courses & Certificates
Skills,Skills
"Master of Arts : Radio, Television & Motion Pictures University of North Carolina ï¼​ City , State",Education
"Writers Guild of America Internship, Star Trek: Deep Space 9 , Paramount Pictures, Los Angeles California, Summer 1993",Experience
"Bachelor of Arts : Human Services University of Tennessee ï¼​ City , State",Education
"M ortar Board Senior Citation, Academic Achievement Award; Academic Council; AASLF Outstanding Senior Award; Cheerleader; Campus",Achievements
Interests,Hobbies
skills and continue to gain experience in the aerospace industry to advance in my career.,Experience
Professional Experience,Experience
Responsible for testing various seat structures to meet specific certification requirements. Â,Courses & Certificates
Ensure data is captured and recorded correctly for certification test reports.,Courses & Certificates
Utilized skills learned from LabView Course 1 training to construct and maintain LabView VI programs.,Skills
Completed Lean Six Sigma/5s training seminar.,Courses & Certificates
Experience with hydraulic components that meet military and FAA regulations.,Experience
Skills,Skills
Education and Training,Courses & Certificates
Seeking a challenging position where my existing skills and experience contribute to your company while expanding my technical abilities.,Experience
"Proficient with maintenance tracking software, Prezi and Microsoft Office Programs such as Word, Excel, PowerPoint, Outlook, Adobe,",Skills
Experience,Experience
"Used the instructional design process to plan and develop online courses in partnership with faculty SMEs, then building courses using a",Courses & Certificates
Facilitated in the transfer and development of online courses from Blackboard LMS to Canvas LMS.,Courses & Certificates
"Collaborated with remote faculty to prepare high-quality, interactive online courses, for academic and non-credit delivery.",Courses & Certificates
Conducted quality assurance reviews of courses and other instructional materials Edited and organized electronic information to create high-,Courses & Certificates
quality course content that is suited to the adult online learner.,Courses & Certificates
"Worked with Blackboard System Administrators to troubleshoot issues with online courses in the LMS system, prepare for system",Courses & Certificates
upgrades by testing the LMS on staging servers.,Education
"Bachelors of Science : Aeronautical Science Applied Meteorology Embry-Riddle Aeronautical University ï¼​ City , State GPA: GPA: 3.23/4.0",Education
Aeronautical Science Applied Meteorology GPA: 3.23/4.0,Education
"Associate of Science : Electronic Engineering Technology Tidewater Community College ï¼​ City , State GPA: GPA: 3.85/4.0 Summa Cum Laude",Education
Electronic Engineering Technology GPA: 3.85/4.0 Summa Cum Laude,Education
Skills,Skills
"forms, HTML, inspect, inspector, instructional design, inventory, labVIEW, laser, logic, materials, MATLAB, Access, Excel, Microsoft Office",Skills
"equipment, Troubleshoot, troubleshooting, UHF, upgrades, VHF, wiring",Education
"Productive, quality oriented professional eager to contribute comprehensive skills toward actively supporting a progressive organization as a key",Skills
team member. Featured Skills x Expedite / AOG / Logistics x Customer Service x Finance / Accounting x Sales x Purchasing x Inventory Control,Skills
skills. * Ability to prioritize tasks and meet deadlines. * A courteous and professional demeanor. * Strong negotiation skills * Ability to work well,Skills
under pressure * Intermediate to advanced computer skills. Proficient with MS Office suite and other work-related software. Additional,Skills
Comments I have been working in the Aviation industry for 12 years now and bring with me a total on 15 years of experience that makes me a,Experience
"well-seasoned professional. I bring with me experience of working with commercial, military, charter, and prototype aircraft. I am experienced and",Experience
Experience,Experience
"My journey at Flightstar began with production coordinating, where I was responsible for interfacing with leads, project managers, and",Projects
Being a coordinator first and already having experience in purchasing made my transition to a buyer smooth since I could now work more,Experience
"Like coordinators I have to interface with leads, project managers, and customer representatives.",Projects
We then report this information to the coordinators and project managers as necessary.,Projects
These savings of course benefits everyone on the company.,Courses & Certificates
Working with Vision Airlines included a lot of different responsibilities.,Experience
"Shipping, and Receiving responsibilities.",Experience
"Upon receipt of material, I then would verify proper certification of the material, receive into the system, and label as required.",Courses & Certificates
"All of this required constant tracking using Excel, Word, and Adobe.",Skills
As well as certifications and any other information requested from maintenance.,Courses & Certificates
Being an Expeditor had responsibilities that could change day by day depending on what was required of me.,Experience
"I also retrieve any and all paperwork required, retrieving certification, submit any and all signatures necessary, and expedite the material in a",Courses & Certificates
"This required the technique of verifying stock, quoting material, ensuring proper certification, and shipping.",Courses & Certificates
Transportation Dangerous Goods Development Group Training Certificate,Courses & Certificates
Vision Airlines Maintenance Indoctrination Course Training Certificate,Courses & Certificates
Vision Airlines Reduced Vertical Separation Minimum Training Certificate (RVSM),Courses & Certificates
"Federal Aviation Certificate of Training ""Gold Award"" Administration Maintenance Technicians Awards Program",Courses & Certificates
Skills,Skills
"accounting, Adobe, Basic, benefits, contracts, delivery, DELL, documentation, fashion, legal, logistics, materials, Excel, Word, packaging,",Skills
SkilledÂ Maintenance MechanicÂ Technician with superb problem solving and multi-tasking skills. Self-directed and motivated worker. To obtain,Skills
challenges and learning experiences.,Experience
Skills,Skills
Â·Â Â 20 years of Material Management experienceÂ  with State and Federal Government Â· 13,Experience
years of Law Enforcement experience with the United States Marine Corps and Army National,Experience
Service skills.,Skills
"Company goals with excellence, integrity",Skills
"General Courses : Monterey Peninsula College - City , State",Courses & Certificates
"Writes DSN's for over shipment, wrong parts, and or no certification.",Courses & Certificates
Skills,Skills
To obtain a position where my years of experience in the client support environment and proven track record of maintaining and developing new,Experience
"support. Major strengths include strong leadership, excellent communication skills, strong team player, attention to detail, compliance in all",Skills
regulated environment and supervisory skills.,Skills
Skills,Skills
"Microsoft Word for Windows, Excel, Power Point, Access, Adobe PageMaker 6.5, Adobe Photoshop, Dreamweaver, Visio, Unix, Oracle 9i",Skills
Experience,Experience
Winner of best sales representative of the year reward 3 straight years and first quarter in 2011.,Achievements
Increased branch non-interest income by 10% with the sale of banking products and excellent client service skills.,Skills
Increased net deposit portfolio for the branch by $1.7 million for the quarter by proven sales skills.,Skills
Training new hires and branch personals to be experts in their job performance to be successful in the company.,Courses & Certificates
"Responsibilities include creating, editing and verifying product and service documentation.",Experience
Education and Training,Courses & Certificates
B.S : Computer Information Systems 2001 Strayer University Computer Information Systems,Education
"1997 Northern Virginia Community College DBA Training, Completed First DBA exam in India",Courses & Certificates
Skills,Skills
"Financial, investments, marketing materials, meetings, Access, Excel, Power Point, Windows, Microsoft Word, online help, Oracle 9, Developer",Skills
"2000, outside sales, presentations, programming, reception, requirement, retail, sales skills, sales, Securities, seminars, Scripting,",Skills
Private Pilot Certificate at Ideal Aviation. I also work at Ideal Aviation as a Line Service Technician.Â,Courses & Certificates
Skills,Skills
Great People SkillsÂ,Skills
Experience,Experience
This job required good people skills and time management.Â,Skills
Education and Training,Courses & Certificates
"Associate of Applied Science : Aviation Pilot Training Southwestern Illinois College ï¼​ City , State , USA I am currently enrolled in SWIC's",Courses & Certificates
Aviation Pilot Program. I will be completeing two years and then transferring to fulfill my bachelors in Aviation Management.,Education
Skills,Skills
"Customer Service Experience, Leadership, Team leadership, Outlook, Fast learner, Verbal Communication, Aviation Knowledge",Experience
"My skills and experiences include: Administrative Support, Auditing, File Management, Meeting Facilitation, Office Materials Management, &",Experience
"COMPUTER SKILLS: Microsoft Word, MS Excel, MS Outlook, MS PowerPoint, PeopleSoft. TYPING SKILLS: 40-60 WPM.",Skills
"ADDITIONAL SKILLS: Administrative Support, Auditing, Clerical, Copy, Customer Service, Data Entry, Delivery, Documentation, Fax, File",Skills
"Management, Letters, Meeting Facilitation, Organizational Skills, Proofreading, Receptionist, Research, Scanning, Scheduling, Secretarial,",Skills
"Telephone Skills, Office Equipment Maintenance, and Inventory Management.",Skills
Experience,Experience
"Maintained Heavy Filing of HR Personnel Action Forms to include new hire letters, awards, certifications and promotions, providing a",Courses & Certificates
Developed and maintained an internal new hire filing system.,Projects
"Typed memorandums, forms, and letters using software applications to complete HR office assignments and projects given on a regular",Projects
"information, teaching background & certification info, and criminal history clearance.",Courses & Certificates
Calling Applicant to Counter Window to Sign Certificate.,Courses & Certificates
"Completing File Maintenance of Riders, Mergers, and Certificates.",Courses & Certificates
"Performing Clerical tasks regarding Naturalization ceremonies, including: A. Scheduling, Preparing, and Distribution of Certificates. B.",Courses & Certificates
"Bachelor's of Arts : Political Science and Law 2007 Montclair State University , City , State , US Bachelor's of Arts Degree in Political Science",Education
"and Law Montclair State University - Upper Montclair, NJ 1998 to 2007",Education
Skills,Skills
"Maintenance, Excel, File Management, Materials Management, Microsoft Word, Ms Excel, Ms Outlook, Ms Powerpoint, Office Assistant,",Skills
"Organizational Skills, Outlook, Powerpoint, Proofreading, Receptionist, Retail Sales, Scanning, Secretarial, Telephone, Telephone Skills, Typing,",Skills
Excellent multi-tasker,Skills
Experience,Experience
Experience,Experience
Plan and present Google applications training for Lindenwold HS professional development.,Courses & Certificates
"Develop labs, assignments, and projects to reinforce material taught previously encouraging deeper knowledge and understanding in",Projects
Continuous educational improvement by applying constructive criticism to lessons during student teaching experience.,Experience
observation and hands on bench training of laboratory procedures and techniques.,Courses & Certificates
Maintain laboratory technician training records and schedule annual evaluations.,Courses & Certificates
"Post-Bachelors Teaching Certification Program : Secondary Education University of Washington ï¼​ City , State Collaborate with teachers of",Education
"various science and grade backgrounds incorporating field research into classroom lessons *Implementation of NGSS into fields of evolution,",Education
"Drexel University School of Education ï¼​ City , State New Jersey CEAS Biology - *Member of Golden Key International Honor Society",Education
"Bachelors of Sciences : Biological Sciences Atlantic Cape Community College Composition I, Introduction to Literature *Burlington County",Education
"Rutgers the State University of New Jersey ï¼​ City , State",Education
Skills,Skills
"Anatomy, aseptic techniques, Bachelors, Biology, calculators, calibration, content, credit, database, Department of Health, DNA, Educator,",Education
Dedicated and highly seasoned advertising employee with over 19 years of inside and outside newspaper sales experience in both the print and,Experience
digital realms. My goal is to be an asset to The Augusta Chronicle and to utilize my abilities and experience to further my personal growth.,Experience
Excellent communication skills,Skills
Excellent organizational skills,Skills
"Circle of Excellence, 2010 - The Augusta Chronicle",Skills
Experience,Experience
Pull monthly reports and handle monthly projections.,Projects
"Marketing Augusta State University ï¼​ City , State",Education
